ダウンロードした時刻：2020/08/27 10:19:42,,,,,,,,,,
,,,,,,,,,,
,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,時分,時分,,,,時分,時分,
,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2004/8/18,36.1,8,2004/8/18 12:30,8,2,23.5,8,2004/8/18 02:20,8,2
2004/8/19,35.2,8,2004/8/19 14:40,8,2,27.6,8,2004/8/19 04:50,8,2
2004/8/20,35.4,8,2004/8/20 10:10,8,2,25.4,8,2004/8/20 23:40,8,2
2004/8/21,31.1,8,2004/8/21 13:00,8,2,24,8,2004/8/21 06:00,8,2
2004/8/22,30.4,8,2004/8/22 13:20,8,2,22.7,8,2004/8/22 05:40,8,2
2004/8/23,24,8,2004/8/23 00:10,8,2,18.7,8,2004/8/23 23:20,8,2
2004/8/24,32.1,8,2004/8/24 12:40,8,2,18.5,8,2004/8/24 05:20,8,2
2004/8/25,28.9,8,2004/8/25 12:20,8,2,24,8,2004/8/26 0:00,8,2
2005/8/1,33.5,8,2005/8/1 12:40,8,2,25.8,8,2005/8/1 04:10,8,2
2005/8/2,32.4,8,2005/8/2 11:10,8,2,26.4,8,2005/8/2 05:00,8,2
2005/8/3,34.8,8,2005/8/3 14:20,8,2,26.2,8,2005/8/3 05:00,8,2
2005/8/4,36.7,8,2005/8/4 14:10,8,2,26.8,8,2005/8/4 05:50,8,2
2005/8/5,37,8,2005/8/5 15:00,8,2,26.6,8,2005/8/5 05:30,8,2
2005/8/6,36.2,8,2005/8/6 14:00,8,2,26.9,8,2005/8/6 04:50,8,2
2005/8/7,35.8,8,2005/8/7 14:00,8,2,26.3,8,2005/8/7 05:00,8,2
2005/8/8,34.4,8,2005/8/8 11:20,8,2,25.6,8,2005/8/8 05:20,8,2
2005/8/9,32.4,8,2005/8/9 13:40,8,2,25.5,8,2005/8/9 05:00,8,2
2005/8/10,30.4,8,2005/8/10 15:50,8,2,25.8,8,2005/8/10 23:40,8,2
2005/8/11,32.5,8,2005/8/11 13:50,8,2,24.6,8,2005/8/11 03:30,8,2
2005/8/12,29.8,8,2005/8/12 14:00,8,2,23.3,8,2005/8/12 23:00,8,2
2005/8/13,32.5,8,2005/8/13 14:40,8,2,23.6,8,2005/8/13 03:20,8,2
2005/8/14,33.9,8,2005/8/14 14:50,8,2,23.6,8,2005/8/14 05:10,8,2
2005/8/15,35.1,8,2005/8/15 13:40,8,2,23,8,2005/8/15 22:00,8,2
2005/8/16,29.1,8,2005/8/16 16:20,8,2,24,8,2005/8/16 23:50,8,2
2005/8/17,32.4,8,2005/8/17 14:10,8,2,23.1,8,2005/8/17 03:50,8,2
2005/8/18,33.5,8,2005/8/18 14:00,8,2,24.8,8,2005/8/18 05:00,8,2
2005/8/19,34.1,8,2005/8/19 14:00,8,2,25.5,8,2005/8/19 05:20,8,2
2005/8/20,34.9,8,2005/8/20 13:00,8,2,25.6,8,2005/8/20 05:20,8,2
2005/8/21,33.8,8,2005/8/21 12:40,8,2,26.5,8,2005/8/21 05:20,8,2
2005/8/22,31.9,8,2005/8/22 15:20,8,2,26.7,8,2005/8/22 05:10,8,2
2005/8/23,33.5,8,2005/8/23 13:10,8,2,23.1,8,2005/8/23 21:10,8,2
